"고객번호","연령","직업","근무기간","결혼상태","부양가족수","외국인여부","주거상태","거주년수","휴대폰개인명의여부","자산","수표계좌","저축계좌","대출이력","대출목적","대출금액","당행대출건수","기타할부상환계획","거래개월수","공동대출보증인","가처분소득중할부상환금비율","신용상태"
"A0220",64,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",4,1,"자동차/기타","계좌없음","100만원이하","현재부채상환지연","신차구입",1700000,1,"없음",10,"없음",2,"우량"
"A0221",26,"비숙련거주자","1년미만","사별/기혼남",1,"예","자가",1,0,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",800000,1,"은행",12,"보증인있음",4,"우량"
"A0222",23,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","임대",4,1,"사회보장/생명보험","마이너스","저축계좌없음","현재부채상환지연","학자금",1500000,1,"은행",12,"없음",4,"우량"
"A0223",30,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"실자산","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",900000,2,"은행",12,"없음",4,"우량"
"A0224",32,"전문직/사무직","1년~4년","싱글남",2,"예","자가",4,1,"실자산","계좌없음","저축계좌없음","당은행부채상환완료","사업자금",3700000,2,"없음",24,"없음",4,"우량"
"A0225",30,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,1,"자동차/기타","계좌없음","100만원이하","현재부채상환지연","중고차구입",5800000,1,"없음",15,"없음",3,"우량"
"A0226",27,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","타은행부채과다","수리비용",3300000,2,"없음",36,"없음",4,"우량"
"A0227",27,"전문직/사무직","4년~7년","싱글남",1,"예","자가",2,1,"모름/없음","50만원이하","1000만원이상","현재부채상환지연","오디오/TV구입",13700000,2,"은행",48,"공동대출자있음",1,"불량"
"A0228",53,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","영구임대",4,1,"모름/없음","마이너스","100만원이하","현재부채상환지연","가구장비구입",9800000,1,"없음",12,"없음",4,"불량"
"A0229",22,"전문직/사무직","4년~7년","싱글남",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",1900000,1,"없음",9,"없음",4,"불량"
"A0230",22,"전문직/사무직","1년미만","싱글남",1,"예","영구임대",1,0,"모름/없음","마이너스","100만원이하","현재부채상환지연","가구장비구입",3900000,1,"은행",24,"없음",4,"우량"
"A0231",26,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","50만원이상","100만원이하","현재부채상환지연","오디오/TV구입",5300000,1,"없음",36,"없음",4,"불량"
"A0232",51,"비숙련거주자","7년이상","싱글남",1,"예","영구임대",4,0,"모름/없음","계좌없음","500~1000만원","현재부채상환지연","신차구입",3100000,1,"없음",9,"없음",2,"우량"
"A0233",35,"전문직/사무직","4년~7년","싱글남",1,"예","자가",1,0,"모름/없음","계좌없음","100~500만원","현재부채상환지연","오디오/TV구입",2700000,1,"없음",12,"없음",3,"우량"
"A0234",25,"비숙련거주자","1년~4년","사별/기혼남",1,"예","자가",2,0,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",1100000,1,"없음",18,"보증인있음",4,"우량"
"A0235",42,"비숙련거주자","4년~7년","싱글남",2,"예","자가",1,0,"실자산","계좌없음","100만원이하","부채없음","오디오/TV구입",1900000,3,"없음",4,"없음",2,"우량"
"A0236",30,"관리직/자영업/숙련직/공무원","미취업","싱글남",2,"예","자가",2,0,"자동차/기타","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",2300000,1,"점포",24,"없음",4,"불량"
"A0237",23,"무직/비숙련비거주자","미취업","싱글남",1,"예","자가",2,1,"사회보장/생명보험","50만원이하","저축계좌없음","현재부채상환지연","신차구입",18200000,1,"없음",6,"없음",1,"불량"
"A0238",61,"비숙련거주자","7년이상","이혼/별거남",1,"예","임대",2,0,"자동차/기타","50만원이하","100~500만원","현재부채상환지연","사업자금",3500000,2,"은행",21,"없음",4,"불량"
"A0239",35,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"사회보장/생명보험","계좌없음","100만원이하","부채없음","오디오/TV구입",1600000,2,"없음",12,"없음",4,"우량"
"A0240",39,"전문직/사무직","7년이상","싱글남",2,"예","자가",3,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",3200000,1,"없음",30,"보증인있음",1,"우량"
"A0241",29,"전문직/사무직","7년이상","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","마이너스","저축계좌없음","현재부채상환지연","신차구입",1100000,1,"은행",24,"없음",4,"불량"
"A0242",51,"전문직/사무직","4년~7년","싱글남",2,"예","자가",2,0,"사회보장/생명보험","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",2000000,1,"없음",6,"없음",3,"우량"
"A0243",24,"전문직/사무직","7년이상","싱글남",2,"예","영구임대",4,0,"모름/없음","마이너스","100만원이하","타은행부채과다","중고차구입",5800000,2,"없음",48,"없음",3,"불량"
"A0244",27,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"실자산","계좌없음","100만원이하","부채없음","사업자금",1500000,2,"없음",12,"없음",3,"우량"
"A0245",35,"비숙련거주자","1년~4년","이혼/별거/기혼녀",2,"예","자가",3,0,"실자산","계좌없음","500~1000만원","과거연체이력","재교육",4300000,1,"없음",12,"없음",4,"우량"
"A0246",25,"전문직/사무직","4년~7년","싱글남",1,"예","자가",1,1,"실자산","계좌없음","100만원이하","현재부채상환지연","사업자금",1600000,1,"없음",24,"없음",4,"우량"
"A0247",52,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"실자산","계좌없음","100만원이하","부채없음","오디오/TV구입",900000,3,"없음",12,"없음",4,"우량"
"A0248",35,"전문직/사무직","1년~4년","싱글남",1,"아니오","임대",1,0,"모름/없음","계좌없음","100~500만원","타은행부채과다","신차구입",1500000,1,"은행",6,"없음",4,"우량"
"A0249",26,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"실자산","50만원이상","100만원이하","현재부채상환지연","가구장비구입",2400000,1,"없음",24,"없음",2,"우량"
"A0250",22,"전문직/사무직","미취업","이혼/별거/기혼녀",1,"예","임대",4,0,"실자산","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",500000,1,"없음",18,"공동대출자있음",3,"불량"
"A0251",39,"비숙련거주자","4년~7년","이혼/별거/기혼녀",1,"예","자가",4,1,"실자산","마이너스","1000만원이상","부채없음","신차구입",800000,2,"없음",6,"없음",3,"우량"
"A0252",46,"비숙련거주자","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","50만원이상","100만원이하","현재부채상환지연","가구장비구입",2800000,1,"없음",12,"없음",1,"우량"
"A0253",24,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"모름/없음","50만원이하","100만원이하","현재부채상환지연","신차구입",2700000,1,"은행",30,"보증인있음",4,"불량"
"A0254",35,"전문직/사무직","1년~4년","싱글남",1,"예","자가",3,0,"사회보장/생명보험","계좌없음","100~500만원","당은행부채상환완료","가구장비구입",5200000,2,"없음",24,"없음",2,"우량"
"A0255",24,"전문직/사무직","4년~7년","싱글남",1,"예","자가",1,1,"자동차/기타","50만원이하","저축계좌없음","현재부채상환지연","가구장비구입",2500000,1,"없음",9,"없음",2,"우량"
"A0256",27,"비숙련거주자","1년~4년","싱글남",1,"예","자가",1,0,"실자산","50만원이하","저축계좌없음","당은행부채상환완료","오디오/TV구입",9300000,1,"없음",60,"없음",1,"우량"
"A0257",35,"비숙련거주자","1년~4년","싱글남",1,"예","자가",2,0,"실자산","계좌없음","100만원이하","부채없음","오디오/TV구입",3400000,2,"없음",24,"없음",4,"우량"
"A0258",29,"전문직/사무직","1년~4년","이혼/별거남",1,"예","영구임대",1,0,"모름/없음","마이너스","100만원이하","과거연체이력","오디오/TV구입",2700000,1,"없음",12,"없음",4,"불량"
"A0259",23,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",4,1,"자동차/기타","계좌없음","100~500만원","현재부채상환지연","중고차구입",4800000,1,"없음",15,"없음",1,"우량"
"A0260",57,"비숙련거주자","미취업","이혼/별거/기혼녀",1,"예","자가",4,0,"실자산","계좌없음","100~500만원","부채없음","오디오/TV구입",1400000,3,"없음",11,"없음",4,"우량"
"A0261",27,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"실자산","마이너스","100만원이하","현재부채상환지연","가구장비구입",2100000,1,"없음",12,"없음",2,"우량"
"A0262",55,"전문직/사무직","7년이상","이혼/별거/기혼녀",1,"예","자가",4,0,"자동차/기타","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",2000000,1,"없음",24,"없음",4,"우량"
"A0263",36,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","영구임대",4,1,"모름/없음","마이너스","100만원이하","부채없음","신차구입",6600000,3,"없음",18,"없음",2,"우량"
"A0264",57,"비숙련거주자","7년이상","이혼/별거/기혼녀",1,"예","영구임대",4,0,"모름/없음","계좌없음","100만원이하","부채없음","학자금",3400000,3,"은행",12,"없음",2,"우량"
"A0265",32,"비숙련거주자","7년이상","싱글남",2,"아니오","자가",4,0,"실자산","계좌없음","100만원이하","부채없음","신차구입",1500000,2,"없음",10,"없음",3,"우량"
"A0266",37,"전문직/사무직","7년이상","싱글남",2,"예","자가",3,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",1000000,1,"없음",15,"없음",4,"불량"
"A0267",36,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"실자산","계좌없음","저축계좌없음","부채없음","사업자금",7900000,2,"없음",36,"없음",4,"우량"
"A0268",38,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",3,1,"자동차/기타","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",1900000,1,"점포",24,"없음",4,"우량"
"A0269",45,"관리직/자영업/숙련직/공무원","7년이상","이혼/별거남",1,"아니오","자가",4,1,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","신차구입",11200000,1,"없음",14,"없음",1,"불량"
"A0270",25,"전문직/사무직","7년이상","싱글남",1,"예","자가",2,0,"자동차/기타","계좌없음","저축계좌없음","현재부채상환지연","오디오/TV구입",1300000,2,"없음",24,"없음",4,"우량"
"A0271",32,"전문직/사무직","4년~7년","싱글남",1,"아니오","자가",3,0,"사회보장/생명보험","계좌없음","저축계좌없음","현재부채상환지연","신차구입",3300000,1,"없음",18,"없음",4,"우량"
"A0272",37,"전문직/사무직","4년~7년","이혼/별거/기혼녀",1,"예","임대",4,1,"자동차/기타","계좌없음","500~1000만원","부채없음","가구장비구입",1800000,1,"없음",12,"없음",3,"우량"
"A0273",36,"관리직/자영업/숙련직/공무원","미취업","싱글남",1,"예","영구임대",4,1,"모름/없음","50만원이하","저축계좌없음","과거연체이력","신차구입",15200000,1,"없음",48,"공동대출자있음",4,"우량"
"A0274",28,"전문직/사무직","4년~7년","싱글남",1,"예","자가",4,0,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",3800000,2,"없음",48,"없음",4,"불량"
"A0275",34,"비숙련거주자","1년미만","이혼/별거남",1,"예","자가",1,1,"모름/없음","마이너스","100만원이하","현재부채상환지연","수리비용",15000000,1,"없음",30,"없음",1,"불량"
"A0276",32,"전문직/사무직","1년~4년","싱글남",2,"예","자가",2,0,"실자산","계좌없음","100만원이하","현재부채상환지연","오디오/TV구입",3400000,1,"없음",9,"없음",1,"우량"
"A0277",26,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","부채없음","오디오/TV구입",3000000,2,"없음",18,"없음",2,"우량"
"A0278",49,"비숙련거주자","7년이상","이혼/별거남",1,"예","자가",4,1,"사회보장/생명보험","마이너스","저축계좌없음","현재부채상환지연","가구장비구입",1600000,1,"없음",12,"없음",2,"우량"
"A0279",32,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",4,0,"사회보장/생명보험","계좌없음","100만원이하","현재부채상환지연","가구장비구입",5800000,1,"없음",6,"없음",1,"불량"
"A0280",29,"관리직/자영업/숙련직/공무원","1년~4년","싱글남",1,"예","임대",4,1,"자동차/기타","계좌없음","100~500만원","현재부채상환지연","오디오/TV구입",2400000,1,"없음",24,"없음",4,"우량"
"A0281",23,"전문직/사무직","7년이상","싱글남",1,"예","임대",4,1,"모름/없음","계좌없음","1000만원이상","부채없음","중고차구입",4200000,2,"없음",15,"없음",3,"우량"
"A0282",50,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"실자산","계좌없음","100만원이하","현재부채상환지연","가구장비구입",2000000,1,"없음",12,"없음",4,"우량"
"A0283",49,"비숙련거주자","4년~7년","싱글남",1,"예","자가",4,0,"자동차/기타","50만원이상","저축계좌없음","과거연체이력","오디오/TV구입",1800000,1,"은행",18,"없음",4,"우량"
"A0284",63,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"사회보장/생명보험","계좌없음","저축계좌없음","부채없음","가구장비구입",1900000,1,"없음",15,"없음",4,"우량"
"A0285",37,"전문직/사무직","1년미만","이혼/별거남",1,"예","자가",2,1,"자동차/기타","50만원이하","100~500만원","부채없음","신차구입",4900000,1,"없음",24,"없음",4,"우량"
"A0286",35,"비숙련거주자","1년미만","이혼/별거/기혼녀",1,"예","자가",1,1,"실자산","마이너스","100만원이하","현재부채상환지연","신차구입",13400000,1,"없음",47,"없음",1,"우량"
"A0287",26,"전문직/사무직","4년~7년","싱글남",2,"예","자가",3,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","중고차구입",6000000,1,"없음",48,"없음",4,"우량"
"A0288",31,"관리직/자영업/숙련직/공무원","미취업","싱글남",1,"예","영구임대",4,1,"모름/없음","50만원이하","100~500만원","당은행부채상환완료","기타",9500000,1,"없음",48,"없음",2,"우량"
"A0289",49,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",4,1,"실자산","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",1400000,2,"없음",12,"보증인있음",4,"우량"
"A0290",48,"전문직/사무직","1년미만","사별/기혼남",1,"예","자가",4,0,"실자산","마이너스","100만원이하","당은행부채상환완료","오디오/TV구입",1300000,1,"점포",24,"없음",4,"불량"
"A0291",26,"전문직/사무직","1년~4년","사별/기혼남",1,"아니오","자가",2,1,"실자산","계좌없음","100만원이하","현재부채상환지연","사업자금",1300000,1,"없음",12,"없음",2,"우량"
"A0292",28,"관리직/자영업/숙련직/공무원","1년미만","사별/기혼남",1,"예","임대",4,1,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","중고차구입",11800000,1,"없음",36,"없음",1,"불량"
"A0293",44,"관리직/자영업/숙련직/공무원","7년이상","이혼/별거/기혼녀",2,"예","영구임대",4,1,"모름/없음","마이너스","100만원이하","부채없음","중고차구입",8000000,2,"없음",24,"없음",2,"우량"
"A0294",56,"전문직/사무직","7년이상","싱글남",1,"예","영구임대",4,0,"모름/없음","50만원이상","100만원이하","부채없음","중고차구입",6000000,1,"없음",42,"없음",4,"우량"
"A0295",46,"관리직/자영업/숙련직/공무원","7년이상","이혼/별거남",2,"예","자가",2,0,"자동차/기타","계좌없음","저축계좌없음","부채없음","사업자금",9600000,2,"은행",48,"없음",4,"우량"
"A0296",26,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",2,1,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","가구장비구입",12500000,1,"없음",48,"없음",1,"불량"
"A0297",20,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","임대",4,0,"자동차/기타","계좌없음","저축계좌없음","현재부채상환지연","중고차구입",5900000,1,"없음",12,"없음",1,"우량"
"A0298",45,"비숙련거주자","7년이상","싱글남",1,"아니오","자가",2,0,"사회보장/생명보험","계좌없음","저축계좌없음","현재부채상환지연","신차구입",1600000,1,"없음",10,"공동대출자있음",4,"우량"
"A0299",43,"전문직/사무직","1년~4년","싱글남",1,"예","자가",4,1,"실자산","계좌없음","100만원이하","현재부채상환지연","가구장비구입",3100000,1,"없음",18,"없음",3,"우량"
"A0300",32,"전문직/사무직","4년~7년","싱글남",1,"예","자가",2,1,"자동차/기타","50만원이하","1000만원이상","부채없음","가구장비구입",3400000,2,"없음",21,"없음",3,"우량"
"A0301",54,"무직/비숙련비거주자","미취업","이혼/별거/기혼녀",1,"예","자가",4,1,"실자산","계좌없음","100만원이하","현재부채상환지연","신차구입",800000,1,"없음",6,"없음",1,"우량"
"A0302",42,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",1,1,"자동차/기타","50만원이하","100만원이하","타은행부채과다","오디오/TV구입",4800000,1,"없음",36,"없음",4,"불량"
"A0303",37,"비숙련거주자","4년~7년","싱글남",2,"예","자가",2,0,"실자산","50만원이상","저축계좌없음","부채없음","신차구입",1700000,2,"은행",24,"없음",4,"불량"
"A0304",49,"전문직/사무직","4년~7년","싱글남",1,"예","자가",3,1,"사회보장/생명보험","마이너스","100만원이하","부채없음","신차구입",1300000,2,"없음",10,"공동대출자있음",4,"우량"
"A0305",44,"전문직/사무직","1년~4년","싱글남",1,"예","영구임대",2,0,"모름/없음","계좌없음","500~1000만원","부채없음","신차구입",12700000,1,"은행",48,"없음",2,"불량"
"A0306",33,"전문직/사무직","1년~4년","이혼/별거남",1,"예","자가",2,0,"실자산","계좌없음","1000만원이상","현재부채상환지연","가구장비구입",1900000,1,"없음",6,"없음",4,"우량"
"A0307",24,"비숙련거주자","4년~7년","이혼/별거/기혼녀",1,"예","임대",4,0,"사회보장/생명보험","계좌없음","저축계좌없음","현재부채상환지연","중고차구입",6000000,1,"점포",30,"없음",2,"우량"
"A0308",33,"비숙련거주자","1년미만","사별/기혼남",1,"예","자가",3,1,"모름/없음","마이너스","100~500만원","현재부채상환지연","오디오/TV구입",900000,1,"없음",12,"없음",4,"불량"
"A0309",24,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",4,0,"실자산","50만원이하","100만원이하","현재부채상환지연","가구장비구입",1500000,1,"없음",8,"없음",3,"불량"
"A0310",22,"비숙련거주자","1년~4년","사별/기혼남",1,"예","임대",4,0,"실자산","50만원이하","100만원이하","현재부채상환지연","신차구입",300000,1,"없음",9,"없음",4,"우량"
"A0311",40,"무직/비숙련비거주자","미취업","싱글남",1,"예","영구임대",4,1,"모름/없음","50만원이하","저축계좌없음","현재부채상환지연","기타",6700000,1,"은행",48,"없음",3,"우량"
"A0312",25,"전문직/사무직","1년~4년","싱글남",1,"예","자가",1,0,"자동차/기타","계좌없음","100~500만원","현재부채상환지연","가구장비구입",6900000,1,"점포",24,"없음",4,"우량"
"A0313",26,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","자가",4,0,"자동차/기타","50만원이상","100만원이하","현재부채상환지연","가구장비구입",4700000,1,"없음",24,"없음",2,"우량"
"A0314",25,"비숙련거주자","4년~7년","사별/기혼남",1,"예","자가",3,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","신차구입",900000,1,"은행",12,"없음",2,"불량"
"A0315",29,"비숙련거주자","1년미만","싱글남",2,"아니오","자가",2,0,"실자산","50만원이상","저축계좌없음","현재부채상환지연","신차구입",1900000,1,"없음",4,"없음",1,"우량"
"A0316",31,"전문직/사무직","7년이상","싱글남",1,"예","자가",4,0,"자동차/기타","마이너스","100만원이하","과거연체이력","가구장비구입",3400000,1,"은행",36,"없음",4,"불량"
"A0317",38,"비숙련거주자","1년~4년","싱글남",2,"예","자가",3,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","가구장비구입",900000,1,"없음",12,"보증인있음",2,"우량"
"A0318",48,"비숙련거주자","1년~4년","이혼/별거/기혼녀",1,"예","자가",4,1,"사회보장/생명보험","50만원이하","저축계좌없음","현재부채상환지연","가구장비구입",5400000,1,"없음",24,"없음",1,"우량"
"A0319",32,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","부채없음","학자금",900000,2,"없음",12,"없음",4,"우량"
"A0320",27,"비숙련거주자","7년이상","이혼/별거/기혼녀",1,"예","자가",4,0,"사회보장/생명보험","마이너스","100만원이하","당은행부채상환완료","가구장비구입",4600000,2,"없음",15,"없음",1,"우량"
"A0321",28,"관리직/자영업/숙련직/공무원","미취업","사별/기혼남",1,"예","자가",2,0,"자동차/기타","50만원이하","100만원이하","부채없음","신차구입",5300000,2,"없음",30,"없음",4,"불량"
"A0322",32,"전문직/사무직","1년미만","이혼/별거남",1,"예","자가",3,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","오디오/TV구입",2400000,1,"없음",24,"없음",4,"불량"
"A0323",34,"관리직/자영업/숙련직/공무원","4년~7년","싱글남",1,"예","영구임대",1,1,"모름/없음","마이너스","100만원이하","현재부채상환지연","중고차구입",3600000,1,"없음",24,"없음",2,"우량"
"A0324",28,"전문직/사무직","1년~4년","싱글남",1,"예","자가",2,0,"자동차/기타","마이너스","1000만원이상","현재부채상환지연","가구장비구입",3300000,1,"없음",18,"없음",4,"우량"
"A0325",36,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",3,0,"실자산","계좌없음","100만원이하","부채없음","신차구입",1300000,2,"없음",18,"없음",4,"우량"
"A0326",39,"비숙련거주자","4년~7년","싱글남",1,"아니오","자가",4,0,"실자산","마이너스","100만원이하","부채없음","신차구입",4300000,2,"없음",8,"없음",1,"우량"
"A0327",49,"전문직/사무직","7년이상","싱글남",1,"예","임대",4,1,"사회보장/생명보험","계좌없음","저축계좌없음","부채없음","가구장비구입",7300000,1,"없음",12,"없음",2,"우량"
"A0328",34,"전문직/사무직","4년~7년","이혼/별거/기혼녀",2,"예","자가",3,1,"자동차/기타","계좌없음","1000만원이상","현재부채상환지연","신차구입",1900000,1,"없음",24,"없음",4,"우량"
"A0329",31,"전문직/사무직","7년이상","싱글남",1,"예","자가",2,0,"자동차/기타","50만원이상","100만원이하","현재부채상환지연","오디오/TV구입",5600000,1,"없음",36,"없음",4,"우량"
"A0330",28,"전문직/사무직","7년이상","싱글남",2,"예","자가",4,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",1300000,1,"없음",6,"없음",4,"우량"
"A0331",75,"관리직/자영업/숙련직/공무원","미취업","싱글남",1,"예","영구임대",4,1,"모름/없음","마이너스","100만원이하","부채없음","중고차구입",8300000,2,"없음",24,"없음",2,"우량"
"A0332",30,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"실자산","계좌없음","100~500만원","부채없음","학자금",2300000,2,"없음",18,"없음",4,"불량"
"A0333",24,"관리직/자영업/숙련직/공무원","1년미만","이혼/별거/기혼녀",1,"예","자가",2,0,"사회보장/생명보험","50만원이하","100~500만원","현재부채상환지연","신차구입",9300000,1,"없음",60,"없음",4,"불량"
"A0334",24,"비숙련거주자","1년~4년","이혼/별거/기혼녀",1,"예","임대",4,0,"자동차/기타","계좌없음","100~500만원","부채없음","중고차구입",14500000,2,"은행",48,"없음",2,"불량"
"A0335",23,"전문직/사무직","7년이상","싱글남",2,"예","임대",4,0,"모름/없음","마이너스","100만원이하","타은행부채과다","가구장비구입",5100000,2,"은행",24,"없음",3,"불량"
"A0336",44,"관리직/자영업/숙련직/공무원","1년~4년","이혼/별거남",1,"예","임대",4,1,"실자산","마이너스","100만원이하","부채없음","가구장비구입",4200000,1,"없음",6,"없음",1,"불량"
"A0337",23,"비숙련거주자","1년미만","이혼/별거/기혼녀",1,"예","자가",4,0,"사회보장/생명보험","50만원이하","100만원이하","현재부채상환지연","오디오/TV구입",2600000,1,"없음",13,"보증인있음",2,"우량"
"A0338",24,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"예","임대",2,0,"자동차/기타","마이너스","저축계좌없음","현재부채상환지연","가전제품구입",1600000,1,"없음",15,"없음",4,"불량"
"A0339",28,"전문직/사무직","1년~4년","싱글남",1,"예","자가",4,0,"사회보장/생명보험","마이너스","100만원이하","현재부채상환지연","가구장비구입",5200000,1,"없음",24,"없음",4,"우량"
"A0340",31,"비숙련거주자","1년~4년","이혼/별거남",1,"예","자가",2,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","가구장비구입",1900000,1,"없음",10,"없음",4,"우량"
"A0341",24,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","영구임대",4,1,"모름/없음","50만원이하","100만원이하","부채없음","학자금",7200000,2,"없음",24,"없음",2,"우량"
"A0342",26,"비숙련거주자","4년~7년","이혼/별거/기혼녀",1,"예","임대",4,0,"자동차/기타","마이너스","100만원이하","현재부채상환지연","가구장비구입",4500000,1,"없음",21,"없음",1,"우량"
"A0343",25,"전문직/사무직","1년미만","사별/기혼남",1,"예","임대",3,0,"실자산","50만원이하","500~1000만원","현재부채상환지연","오디오/TV구입",4000000,1,"없음",18,"없음",1,"우량"
"A0344",33,"관리직/자영업/숙련직/공무원","7년이상","싱글남",1,"예","자가",1,1,"실자산","50만원이하","100만원이하","현재부채상환지연","사업자금",5600000,1,"은행",18,"공동대출자있음",1,"우량"
"A0345",37,"비숙련거주자","1년미만","싱글남",2,"예","자가",1,0,"사회보장/생명보험","50만원이상","100만원이하","현재부채상환지연","신차구입",4900000,1,"없음",10,"보증인있음",1,"우량"
"A0346",43,"비숙련거주자","1년~4년","이혼/별거/기혼녀",1,"예","자가",2,0,"자동차/기타","계좌없음","100만원이하","부채없음","오디오/TV구입",1800000,1,"없음",15,"없음",4,"우량"
"A0347",23,"전문직/사무직","1년미만","싱글남",1,"예","자가",4,0,"실자산","50만원이하","100만원이하","부채없음","오디오/TV구입",1100000,2,"없음",13,"보증인있음",4,"우량"
"A0348",23,"무직/비숙련비거주자","미취업","이혼/별거/기혼녀",1,"예","임대",4,0,"모름/없음","50만원이하","500~1000만원","현재부채상환지연","오디오/TV구입",4700000,1,"없음",24,"없음",1,"우량"
"A0349",34,"비숙련거주자","1년~4년","싱글남",1,"예","자가",2,0,"실자산","계좌없음","100~500만원","당은행부채상환완료","사업자금",2200000,2,"없음",6,"없음",1,"우량"
"A0350",32,"전문직/사무직","7년이상","싱글남",2,"예","영구임대",3,0,"모름/없음","50만원이하","1000만원이상","부채없음","학자금",1400000,2,"없음",9,"없음",4,"불량"
"A0351",23,"전문직/사무직","1년미만","이혼/별거/기혼녀",1,"예","임대",4,1,"실자산","계좌없음","100만원이하","현재부채상환지연","가전제품구입",1500000,1,"없음",9,"없음",1,"우량"
"A0352",29,"전문직/사무직","1년~4년","이혼/별거/기혼녀",1,"아니오","자가",2,0,"자동차/기타","50만원이하","100만원이하","현재부채상환지연","가구장비구입",1200000,1,"없음",9,"없음",1,"불량"
"A0353",38,"관리직/자영업/숙련직/공무원","미취업","싱글남",1,"예","자가",4,1,"모름/없음","계좌없음","저축계좌없음","부채없음","중고차구입",4000000,1,"없음",18,"없음",2,"우량"
"A0354",28,"전문직/사무직","1년~4년","싱글남",1,"예","임대",2,1,"사회보장/생명보험","마이너스","100만원이하","타은행부채과다","오디오/TV구입",7800000,2,"없음",12,"없음",4,"불량"
"A0355",46,"전문직/사무직","7년이상","싱글남",1,"예","영구임대",4,1,"모름/없음","계좌없음","500~1000만원","현재부채상환지연","학자금",900000,1,"없음",10,"없음",4,"우량"
"A0356",23,"비숙련거주자","1년미만","싱글남",1,"예","자가",2,0,"실자산","50만원이하","100만원이하","현재부채상환지연","신차구입",1600000,1,"점포",24,"없음",4,"불량"
